New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.20)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.20)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.20)
New best MSE (sub): 0.2534 (kernel: 13, sigma: 3.20)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.30)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.30)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.30)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.30)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.40)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.40)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.40)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.40)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.50)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.50)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.50)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.50)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.60)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.60)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.60)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.60)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.70)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.70)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.70)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.70)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.80)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.80)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.80)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.80)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 3.90)
New best MSE (div): 0.3614 (kernel: 13, sigma: 3.90)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 3.90)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 3.90)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.00)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.00)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.00)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 4.00)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.10)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.10)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.10)
New best MSE (sub): 0.2533 (kernel: 13, sigma: 4.10)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.20)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.20)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.20)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.20)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.30)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.30)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.30)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.30)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.40)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.40)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.40)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.40)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.50)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.50)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.50)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.50)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.60)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.60)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.60)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.60)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.70)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.70)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.70)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.70)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.80)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.80)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.80)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.80)
New best SSIM (div): 0.0628 (kernel: 13, sigma: 4.90)
New best MSE (div): 0.3614 (kernel: 13, sigma: 4.90)
New best SSIM (sub): 0.1689 (kernel: 13, sigma: 4.90)
New best MSE (sub): 0.2532 (kernel: 13, sigma: 4.90)
New best SSIM (div): 0.0622 (kernel: 15, sigma: 0.10)
New best MSE (div): 0.3537 (kernel: 15, sigma: 0.10)
New best SSIM (sub): 0.0800 (kernel: 15, sigma: 0.10)
New best MSE (sub): 0.3425 (kernel: 15, sigma: 0.10)
New best SSIM (div): 0.0596 (kernel: 15, sigma: 0.20)
New best MSE (div): 0.3638 (kernel: 15, sigma: 0.20)
New best SSIM (sub): 0.1313 (kernel: 15, sigma: 0.20)
New best MSE (sub): 0.2960 (kernel: 15, sigma: 0.20)
New best SSIM (div): 0.0604 (kernel: 15, sigma: 0.30)
New best MSE (div): 0.3657 (kernel: 15, sigma: 0.30)
New best SSIM (sub): 0.1582 (kernel: 15, sigma: 0.30)
New best MSE (sub): 0.2688 (kernel: 15, sigma: 0.30)
New best SSIM (div): 0.0630 (kernel: 15, sigma: 0.40)
New best MSE (div): 0.3609 (kernel: 15, sigma: 0.40)
New best SSIM (sub): 0.1618 (kernel: 15, sigma: 0.40)
New best MSE (sub): 0.2645 (kernel: 15, sigma: 0.40)
New best SSIM (div): 0.0639 (kernel: 15, sigma: 0.50)
New best MSE (div): 0.3593 (kernel: 15, sigma: 0.50)
New best SSIM (sub): 0.1641 (kernel: 15, sigma: 0.50)
New best MSE (sub): 0.2614 (kernel: 15, sigma: 0.50)
New best SSIM (div): 0.0643 (kernel: 15, sigma: 0.60)
New best MSE (div): 0.3587 (kernel: 15, sigma: 0.60)
New best SSIM (sub): 0.1662 (kernel: 15, sigma: 0.60)
New best MSE (sub): 0.2580 (kernel: 15, sigma: 0.60)
New best SSIM (div): 0.0644 (kernel: 15, sigma: 0.70)
New best MSE (div): 0.3585 (kernel: 15, sigma: 0.70)
New best SSIM (sub): 0.1674 (kernel: 15, sigma: 0.70)
New best MSE (sub): 0.2560 (kernel: 15, sigma: 0.70)
New best SSIM (div): 0.0645 (kernel: 15, sigma: 0.80)
New best MSE (div): 0.3584 (kernel: 15, sigma: 0.80)
New best SSIM (sub): 0.1680 (kernel: 15, sigma: 0.80)
New best MSE (sub): 0.2549 (kernel: 15, sigma: 0.80)
